Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
mendadak,,,,,"dadak, nadak"
mendahului,ngamaluin,,,ngariinin,
"mendahului,meninggalkan",ngalahin,,,ninggalin,
"mendalam, mendalami",,,,,"teleb, nelebang"
mendatangi dengan berencana,,,,,"endon, ngendon"
mendengar,ningeh,miragi,mireng,,
"menderita, sengsara",,,,,papa
mendiang,,,,,petala
mendidih,,,,,"luab,maluab"
mendidih keras,,,,,gemulak
mendorong,"sorong, sogok",sogok,sogok,,
mendorong untuk masuk,,,,,"sluksuk, nyluksuk"
menduduki,tongosin,linggihin,genahin,,
mendung,,,,,gulem
meneguk kuah sayur,,,,,"siup, myiup"
menekan dengan jari,,,,,celek
menelan,"untal, uluh",gelekang,untal,,
menelan bulat-bulat,,,,,"uluh, nguluh"
menemui,nepukin,ngatonang,manggihin,,
menemui,nemu,,,mangguh,
"menemui,menjumpai",nemuang,,,mangguhin,
menengadah,,,,,tengkayak
menengadahkan kepala,,,,,"dulengek, nulengek"
menentang,,,,,piwal
menerima,terimatampi,terima,"nunas, tampi",,
menerima,nampi,,,nampenin,
menerima,"tampi, nampi",,,"trima, nrima",
menerkam,,,,,"sarap, nyarap"
mengabulkan,"isinin, ngisinin","dagingin, lingganin",linggihin,,
mengacaukan,,,,,"ubek, ngubek"
mengadili,ngadilin,,,nepasin,
mengajak,ngajak,ngajak,ngiring,,
mengajar,"ngajahin, ajahin",urukinngurukin,"uruk, muruk",,
"mengakhiri, ",nyuudin,muputin,muputang,,
mengakui,,,,,pariangken
mengakui kesalahan,,,,,"luku,ngaluku"
mengambil dengan kelima ujung jari,,,,,"jumput, nyumput"
mengambil sajen yang sudah dihaturkan,,,,,"parid, surud"
"mengampuni, memaafkan",ngaksama,nyinampura,nyinampura,,
mengangguk karena mengantuk,,,,,"undap, ngundap"
mengangkat,tingtingang,tingting,ngangkat,,
mengangkut padi bersama,,,,,bleseng
"mengangkut, diatas punggung",,,,,"pondong, mondong "
mengantar,"dandan, ateha, ngiringan",tuntun,tuntun,,
mengantuk,kiap,kiap,arip,,
mengantuk,kiyap,arip,arip,,
mengapa,"nguda, kenapa, ngudiang",ngudiang,Punapi awinan,,
mengapa?,sangkal? ,,,dados?,
mengarang puisi bali,,,,,"gurit, ngurit"
"mengarang, mengada-ada",,,,,"ragrag, ngragrag"
mengarungi,,,,,krobok-ngrobok
mengasapi,,,,,"dusdus, nusdus"
mengatur,dabdab,tata,tata,,
"mengebiri butuh sapi, babi, anjing",,,,,"cula, nyula"
mengeluarkan,mesuang,ngamedalang,ngamijilang,,
mengeluarkan,mesuang,,,ngamedalang,
"mengeluh, keluh, merengek",ngarenggeng,ngarengkeng,ngarengkeng,,
mengembalikan,ngulihang,mudalang,ngantukang,,
mengembara,,,,,"umbara, ngumbara"
mengenakan,"saluk, nyaluk",,,"angen, ngrangsuk",
mengenal,tawang,uning,keni,,
mengentah-entakkan,,,,,"keteb, maketeban"
mengepit,,,,,"slepit, nylepit"
mengepul,,,,,"kupu, makupu"
"mengerjakan tanah orang lain, bagi hasil",,,,,"tandu, nandu"
"mengerjakan, membuat","gae, ngae",karya,makarya,,
mengerti,ngerti,ngresep,"pawikan, uningring",,
mengerti,"ngerti, resep, ngeresepang",midep,ngertos,,
mengetam padi,manyi,,,ngampung,
mengetuk,,,,,nogdog
menggali,"ebet, tumbeg",tumbeg,tumbeg,,
menggambari dengan huruf modre,,,,,"rajah, ngrajah"
mengganggu,,,,,"rubeda, ngrubeda"
mengganggu,,,,,"udek, ngudek"
menggangguk-angguk,,,,,anggur-anggut
menggeliat,,,,,kisut
menggeliat,,,,,"kiud, makiud"
menggerutu,,,,,"gebros, ngebros"
menggigit,,,,,ngutgut
"menggonggong, menyalak",ngongkong,ngongkong,ngongkong,,
menggosok,"gebeg, ngusap",gebeg,gebeg,,
menggosok dengan jari,,,,,"kucek, ngucek"
menggosok kepala dengan kedua tangan,,,,,"kuca, nguca"
menghadap,tangkil,"parel, padek",ngrauhin,,
menghadap,,,,,pedek
menghadap kepada yang dihormati,,,,,"tangkil, nangkil"
menghadapi,,,,,"papas, mapas"
menghamparkan,,,,,"keber, ngeberang"
menghancurkan dengan kuku jari,,,,,"pingseg, mingseg "
menghancurkan sirih sebelum dimakan,,,,,"cocok, cokcok"
mengharapkan,"ajap, ngajap",,,"apti, ngaptiang",
menghasilkan dengan baik,,,,,"pupu, mupu"
"menghentak, menghardik",,,,,"damprat, namprat"
menghias,mayasin,mayasin,mayasin,,
menghibur,,,,,"slimur, nylimurang"
menghitung,"metek, itung",wilang,wilang,,
menghitung,metek,,,"ngawilang, ngetang",
menghormati,"ormatin, junjung",ngutamayang,misinggihan,,
mengidam,idam,ngidam,ngrempini,,
mengidam,ngidam,ngidam,ngrempini,,
mengigau,,,,,ipit
menginap,nginep,nginep,mererep,,
mengirim,"papetang, mapetang","titipang, nitipang",titipang,,
mengisi dengan menekan,,,,,"teltel, neltel"
mengo1esi dengan cat dan sejenisnya ,,,,,"poles, moles"
mengokohkan,mikukuhin,,,ngamanggehang,
mengorek,,,,,"urek, ngurek"
menguap,,,,,"uab, mauaban"
menguasai,,,,,"kuub, nguub"
"mengubur, ngaben mayat",,,,,"kutang, makutang"
mengucapkan,ngucapang,,,ngojarang,
mengucapkan weda/mantra,,,,,"uncar, nguncarang"
mengucapkan weda-weda,,,,,maweda
mengukir,,,,,"ukir, ngukir"
mengukus,,,,,"kuskus, nguskus"
mengulangi,jumunin,wawanin,wawanin,,
menguleni,,,,,"ulet, nulet"
mengumpulkan,"munduhang, ngumpulang",munduhang,munduhang,,
mengumumkan,nyiarang,,,nyobyahang,
mengundang,"ngundang, tekaang","ngundangin, ngerauhang",ngerauhang,,
mengunggulkan,"unggul, ngunggulang",,,"inggil, nginggilang",
"mengungkit, mengangkat sedikit",,,,,"ungkit, ngungkit"
mengungsi,rarud,,,ngungsi,
"mengunjungi, mampir","singgah, delokin",simpang,"aksinin, simpang",,
mengusir hewan,,,,,"ulah, ngulah"
menikah,nganten,mawiwaha,makerab,,
menikam dengan senjata,,,,,"rancab, ngranca"
menimbang,,,,,"nimbang, nacin"
menimpakan,nibakang,,,niwakang,
menindih,,,,,"tindih, nindihin"
"meninggal, wafat",mati,padem,"seda, lina, mantuk",,
meninggalkan,"kalahin, tinggalin, magedi, makaad","makaon, magingsir","kaonin, magingsir",,
"menipu, membohongi",melogmelogapus,ngulukuluk,miseka,,
menirukan,"nuut, nuutin",,,"ngojah, ngojahang",
menit,menit,menit,menit,,
"menitis, menjelma",numitis,,,dumateng,
menjalurkan lidah,,,,,"selep,nyelep"
menjamu,namiu,,,nyambrama,
menjangan,,,,,manjangan
"menjaring, ngesampingkan ampasnya",,,,,"saip, nyaip"
"menjatuhkan, mencampakkan",,,,,"pulang, mulang"
menjawab,"mesahur, ngewales","mesahur, ngewales",cawis,,
menjawab,nyawab,,,nyawis,
"menjelma, menitis","dumadi, numadi",,,"dumateng, numateng",
menjemur biji yang akan ditanam,,,,,"timuh, nimuh"
"menjengkang, berjalan satu kaki",,,,,dengkleng
menjerit,,,,,nyerit
menjolok berulang-ulang,,,,,cucuk
menjolok dengan galah,,,,,"ugug, ngugug"
menjorok keluar,,,,,"lontod,malontod"
menjual,adepngadep,"adol, ngadol","adol, ngadol",,
menjual,ngadep,,,ngadol,
menjuang lurus ke atas,,,,,mlejeg
menjungjung di atas kepala,,,,,"suun, nvuun"
menjunjung kebenaran,,,,,darma
menolong,matulung,,,ngawantu,
menombak,,,,,tumbak
menonton,mabalih,,,nonton,
mentah,matah,matah,matah,,
mentah,,,,,matah
mentang-mentang,,,,,lagut
mentega,mentega,mentega,mentega,,
"mentri, pejabat tinggi",,,,,mantri
"menuai, bertambah besar",,,,,empuk
"menuju, mendatangi","ojog, ngojog",,,"jujug, nyujug",
menulis,"tulis, ungguhang",surat,serat,,
menumbuk beras keduakalinya,,,,,"seruh, nyeruh"
menumpuk,,,,,"tumpuk, numpuk"
menundukkan kepala,,,,,"untuk, nguntuk"
menunggu,"antiang, antosang",antosang,jantosang,,
menunjang,,,,,"tunjang, nunjang"
menunjukkan,edengang,mekantenang,nyinahang,,
menurun perlahan,,,,,ees
menutup,"nekepin, rurubin",rurub,rurub,,
menutup,,,,,tekep
menutup seluruh badan dengan kain,,,,,"krubung, makrubung"
menyahut,masaut,,,masaur,
menyahuti,nyautin,,,nyaurin,
menyajikan suguhan kepada bhuta kala,,,,,masegeh
menyala tiba-tiba,,,,,"kebiar, mekebiar"
menyamai,matuhin,,,nyamenpada,
menyambut kedatangan,,,,,"jagjag, nyagjag"
menyandingi,,,,,"sanding, nyanding"
menyapa,nyapa,,,nyanggra,
"menyapa, menerima","sambut, nyambut",,,"sanggra, nyanggra",
menyapu,nyampat,,,nyapuh,
menyebabkan,ngranang,,,"mawinan, ngawinang",
menyeberang,liwat,ngalintang,ngalintang,,
menyeka,,,,,"sapsap, nyapsapin"
menyela,,,,,"selag,nyelag"
menyelam,,,,,"silem, nyilem"
menyelesaiakan,mragatang,,,muputang,
menyelidiki,nyelidikin,,,nyelehin,
menyelidiki,,,,,nyelehin
menyemaikan bibit pai,,,,,"urit, ngurit"
"menyentik, menyentil",,,,,"pentil, mentil"
menyentuh dengan jari,,,,,"tundik, nundik"
"menyertai, sertai, serta","barengin, ngajak",sarengin,ngiring,,
menyesal,,,,,pariselsel
menyesal,,,,,"selsel, nyelsel"
"menyesal, kesedihan",,,,,bekut
menyimpan,sepel,simpen,simpen,,
menyimpan mayat,,,,,"sekeh, nyekeh"
menyinggung dengan jari,,,,,"sentil, nyentil"
menyisir,masuah,nyisir,masuri,,
menyucikan lingga,,,,,"melis,makiis"
menyucikan pratima ke laut,,,,,"kiis, makiis"
menyungkil isi kelapa,,,,,"seluh, nyeluh"
"menyungkur, menggali dengan mulut",,,,,"lumbih,nglumbih"
menyuruh,nguduhin,nguduhin,nitahang,,
menyuruh,nunden,ngenken,nganikahin,,
menyuruk dengan membungkuk,,,,,"sulub, masulub"
"menyuruk, menyusup ke",,,,,"susup, nyusup"
"menyusul, ikuti",,,,,tuthuri
menyusup,,,,,"slupsup, nylupsup"
meragukan,,,,,gapi
merah,barak,"abang, bang","abang, bang",,
merah,baag,,,bang,
merah,barak,,,"bang, rakta",
"merangkul, membawa dengan rangkulan",,,,,"sangkol, nyangkol"
merasa,"merasa, ngerasa",ngrasa,rumasa,,
merasa,marasa,,,mawirasa,
merasa,,,,,merasa
merasakan,"rasain, cicipin",kedapin,kecapin,,
"meraut, menghaluskan",,,,,"rot, ngerot"
merayap,,,,,"grepe, ngrepe"
merekat,,,,,raket
merembes,,,,,meles
merencanakan,,,,,"eka, ngeka"
"mereng, miring",,,,,"eyeg, ngeyeg"
merentangkan,,,,,"pentang, mentang"
merepotkan,ngrepotin,,,nyungkanin,
"meresapi,mendalami",ngresepang,,,"nelebang, ngincepang",
meresmikan dengan upacara agama,,,,,"plaspas, mlaspas "
merica,,,,,mica
merokok,"ngeroko, maroko",melanjaran,malanjaran,,
"merongoh, masukkan tangan ke lubang",,,,,"seluk, nyeluk"
merpati,dara,paksidara,paksidara,,
mertua,,,,,matua
meskipun,"yadiapin, yadiastu, nadiyan","yadian, nadian","yadian, nadian",,
mewah,,,,,wirya
mewarisi,,,,,"tami, nami"
mewarnai,,,,,"celub, nyelub"
milik,gelah,derbe,"drue, due",,
"milikmu, punyamu","gelah, caine",duenragane,deruenratune,,
"milin, memuntir",,,,,"ilut, ngilut"
mimpi,ngipi,ngipi,nyumpena,,
mimpi,ngipi,nyumpena,numpena,,
minggu,ukuminggu,"saptawara, minggu","wuku, minggu",,
minggu,,,,,"uku, wuku"
minta,idih,"tunas, lungsur",arsang,,
minta,idih,"tunas, nunas","lungsur, ngalungsur",,
minta,"ngidih, ngulungsur",nunas,ngarsayang,,
minta kembali,"tagih, nagih",,,"arsang, arsayang",
minta maaf,"idih pelih, aksama",,,nunas ampura,
minta maaf,ngidih pelih,,,nunas ampura/iwang,
"minta, mohon",idih,"lungsur, nunas",ngarsayang,,
minum,inem,"inem, ajengang",nginem,,
minum,"inen, nginem",,,"inum, nginum",
"minum dari kendi, tuang air ke mulut",,,,,ceret
minuman,ineman,"ajengan, kinum","ngewedang, kinum",,
minuman obat,,,,,loloh
minyak,lengis,,,"lenga, minyak",
"minyak, bensin",lengis,minyak,minyak,,
miring,,,,,sengel
"miring ke sebelah, hampir rebah",,,,,sendeh
"miring, tidak rata, tidak tegak",,,,,"seng, ngeseng"
"miring, tidur miring",,,,,"giring, magiring"
mirip,masaih,,,sumaih,
mirip,saih,,,sumaih,
"mirip, hampir sama",,,,,"mesib,mesaib"
misalnya,,,,,"makadi,minakadi"
miskin,"lacur, tiwasnista","lara, tiwas",miskin,,
miskin,lacur,,,tiwas,
miskin,papa,,,tiwas,
mobil,,,,,montor
modal berjudi,,,,,gelar
modern,cara jani,cara mangkin,turah mangkin,,
mohon izin bebas tugas dalam kerja bersama,,,,,"puangkid, mapuangkid"
mohon kedatangan sulinggih,,,,,"tuhur, nuhur"
moksa,,,,,"moksa,moksah"
"momong, peliharan",empu,,,emban,
Mondar-mandir,,,,,Bulak-Balik
montok,,,,,mundil
motor,,,,,"motor,montor"
moyang,kumpi,kumpi,kompiang,,
mual-mual,,,,,"delu, delu-delu"
mual-mual,,,,,seneb
muatan,muatan,babuatan,babuatan,,
muda,"nguda, bajang, muda","anom, jejaka","anom, jejaka",,
muda,,,,,nguda
mudah lepas,,,,,ganjih
mudah patah,,,,,renyah
"mudah, gampang",aluh,dangangampang,dangan,,
mujur,aget,,,sadia,
muka,"mua, rahi",prarahi,prarahi,,
"muka, halaman",kaca,kaca,kaca,,
"muka, wajah",mua,mua,prarai,,
mulai,"nyumunin, nyumu","ngawitin, ngawit",ngawitin,,
mulai,jumu,,,kawit,
mulai malam,,,,,nyaluk peteng
mulai menempati,,,,,"aug, ngaug"
"mulai, ulangi",jumunin,,,"kawitan, wawanin",
mulut,bungut,cangkem,"lambe, cangkem",,
mulut,bungut,,,cangkem,
mulut menojol,,,,,Bujuh
mundur,,,,,"kirig, makirig"
mundur dari musuh,,,,,lilih
mungkin,mirib,minab,menawi,,
mungkir,"boyanin, matidong",dudon,"dudon, maboya",,
muntah,ngutah,mangsul,mangsul,,
muntahan,,,,,utah
murah,"mudah, sedeng, pantas",murah,"patuh, sedeng",,
murah,mudah,,,murah,
"Murah hati, dermawan",bares,dana,dana,,
"murid, siswa",murid,,,"sisia, walaka",
murni,"sukla, suci",nirmala,nirmala,,
murni,,,,,tulen
"murni, halus",,,,,mulus
"murni, perawan, bersih",,,,,suci
musang,,,,,lubak
musim,"masa, masan",masa,masa,,
musim menanam padi,,,,,kertamasa
musnah,,,,,pralaya
musnah,,,,,sirna
musuh,meseh,sastrumeseh,meseh,,
musuh,musuh,,,"meseh, ripu, satru",
nafas,angkih,,,angseng,
nafas dari mulut,,,,,engkah
nafas ngos-ngosan,,,,,angsur
nafasnya hampir putus,,,,,slegak-slegak
"nafkah, rejeki",,,,,upajiwa
naik,menek,menek,munggah,,
naik,tegakin,linggihin,ngelinggihin,,
naik,menek,,,munggah,
naiki,penek,penek,unggah,,
naiki,tegakin,linggihin,linggihin,,
"naiki, naik","penek, menek",,,"unggah, munggah",
najis,leteh,,,letuh,
najis karena baru melahirkan,,,,,reged
nak,,,,,cening
nakal,kual,nakal,nakal,,
nakal,,,,,kual
"nakal, cabul",,,,,jaruh
"nakal, sundel",,,,,"jalir, luh jalir"
nama,adan,wasta,"pesengan, parab",,
nama,,,,,aran
nama anak ketiga,,,,,nyoman
nama anak urutan kedua,,,,,made
napas,bayu,bayu,bayu,,
narapidana,bogolan,,,bebandan,
narasumber,pangraos,,,"pamaos, narawakia",
nasehat,tutur,pitutur,piteket,,
nasi,nasi,ajengan,rayunan,,
nasi,nasi,,,"ajengan, rayunan",
nasib,gantin,,,anjekan,
nasihat,pitutur,,,piteket,
nasihat,,,,,sasuluh
negara,negara,,,"panegara, jagat",
"negeri, negara","negara, negari","Jagat, negara","Jagat, negara",,
"nelayan, nahkoda",,,,,benega
nempuluh tiga,nendasa telu,,,nenemdasa tiga,
nenas,manas,,,nanas,
nenek,dadong,nini,niang,,
nenek,,,,,"embah, odah"
nenten mapikolih becik,,,,,uung
"neraca, timbangan",,,,,"dacin, penimbangan"
ngengat,,,,,ngetnget
ngentut,ngentut,ngentut,ngampru,,
"ngepain, mengapa",,,,,"nguda, ngudiang"
ngobrol membanggakan diri,,,,,"endog, ngendog"
ngomong cabul,,,,,crucuh
ngomong tak henti-hentinya,,,,,"melmel,ngamelmel"
ngomong tak karuan,,,,,"kacuh, ngacuh"
"ngumpulkan, berdikit-dikit",,,,,"tuptup,nuptupang"
nol,nulwindu,windu,windu,,
nomor,"nomer, angka",nomer,nomer,,
"normal, aman",enteg,,,degdeg,
numpang tinggal,,,,,dunung
nungging,,,,,"tungging, nungging"
nyala api membesar,,,,,"kebiur, makebiur"
Nyala terus ,,,,,Cangcang 
"nyala, menyala",,,,,"endih, ngendih"
nyambung,atep,,,kerep,
nyamuk,legu,legu,legu,,
nyamuk,legu,,,angkitan,
nyamuk,,,,,legu
nyanyi,"magending, ngendingang",makidung,makidung,,
Nyanyian teka-teki,,,,,Cangkriman 
nyaring,,,,,janggih
"nyaring, keras",jangih,jangih,jangih,,
"nyaris, hampir",,,,,"das, dasan"
nyata-nyata,,,,,sekala
obat,ubad,tamba,tamba,,
obat,ubad,,,tamba,
obat tetes untuk mata/hidung,,,,,tutuh
oberkontrak,,,,,"lelen, plelenan"
"objek, pelengkap",,,,,paraning lengkara
obor,suluh,damar,sundih,,
obor,,,,,prakpak
obor,,,,,sundih
odalan di pura subak,,,,,"usaba, ngusaba"
oenduduk desa,,,,,uwa desa
"olah, mengolah",,,,,"olah, ngolah"
oleh,baan,antuk,olih,,
oleh,"baan, teken","antuk, olih","olih, dening",,
oleh,teken,antuk,olih,,
"oleh, oleh",gagapan,larapan,larapan,,
Oleh-oleh,gapgapan,temontemon,pekelingan,,
oleh-oleh,"gapgap, gapgapan",,,"rayap, rarapan",
oleh-oleh,gapgapan,,,rarapan,
"oles, mengoles",,,,,"oles, ngoles"
ombak,,,,,ombak
"ombak, gelombang","umbak, ombak",umbak,umbak,,
ompong / tak bergigi,,,,,pawah
"ongkos, harga, biaya",beya,aji,pangarga,,
orang bangsawan,,,,,"menak,triwanga"
orang bijak,dukuh,,,dangiang,
"orang kebanyakan, kasta terendah",,,,,sudra
orang suci bertugas di pura,,,,,mangku
orang suci pelaksana ibadat suatu pura,,,,,pemangku
orang tua,"rama, rerama",,,lelingsir,
orang yang disusupi memedi,,,,,sangiang mamedi
orang/wanita yang bercerai,,,,,"sapihan, nyapihan"
orangasing,"endonan, ajawi",orangjawi,wongnusantara,,
orangbali,abali,orangbali,wongbali,,
orangdewasa,anakkelih,menekduwur,duur,,
"orange, kuning muda",,,,,gading
"oranglaki, laki, pria",anakmuani,anaklanang,jadmalanang,,
orangtua,"rarama, memebapa",rerama,biangaji,,
otak,polo,polo,untek,,
otak,polo ,,,untek,
pacar,gelan,,,tetagon,
"pacu, dorong",,,,,angsok
pacul bergigi satu,,,,,srampang
pada,di,ring,ring,,
"padamkan, memadamkan lampu",,,,,"dampeh, nampeh"
padat,,,,,padet
padi,padi,pantu,pantu,,
padi,padi,,,pantun,
padi berbiji hitam,,,,,injin
pagar,pagehan,panyengker,pager,,
pagi,semengan,semeng,"semeng, enjing",,
pagi,semeng,,,enjing,
pagi,,,,,semeng enjing
paha,paa,paa,pupu,,
paham,,,,,parna
pahat,,,,,paet
pahit,pait,,,tikta,
pahit,,,,,pait
pajak,,,,,pajeg
pajak tanah kering,,,,,upeti
pakai,anggo,angge,angge,,
pakai,anggo,,,"angge, anggen",
pakaian,penganggo,pengangge,pengangge,,
pakaian,panganggo,,,"panggangge, busana",
Pakaian bekas/lama,,,,,Buuk
Pakaian serba elok,,,,,Bungah
"pakan, makanan","amah, ngamah",,,"teda, neda",
paksa,"maksa, keju, ngrejeg",maksa,piserang,,
paksa,paksa,,,parikosa,
paksa melakukan,,,,,angseh
paku,"pacek, paku",pacek,pacek,,
palang parit,,,,,temuku
paling,Paling,Pinih,Pinih,,
paling,paling,,,pinih,
palsu,"palsu, singbenehapus",tansujati,"dudu, iwangsalit",,
palu,"palu, panggul",palu,palu,,
palu,,,,,palu
palu berkepala kayu,,,,,pangotok
paman,uwa,uwa,ajung uwa,,
panah,panah,,,astra,
panah,,,,,panah
panas,"anget, kebus",panes,panes,,
panas,kebus,,,gerah,
panas,,,,,kebus
panas,,,,,"ongkeb, opek, gerah"
panas,,,,,panes
"panas, hangat","kebus, anget",anget,panes,,
pancuran,pancoran,,,beji mancur,
pancuran,,,,,pancoran
pandai,"duweg, ririh","wikan, widaksa","pradnyan, wicaksana",,
pandan,,,,,pandan
pandang,teletekang,ngawaspada,ngaspada,,
"pandang, lihat","tingalin, iwasin",tingalin,cingakin,,
"pandangan dengan marah, sinis",,,,,cureng
panen,manyi,ngampung,ngampung,,
panen padi,anyi/manyi,,,ampung/ngampung,
"pangan, makanan",,,,,pangan
panggang,,,,,"tunu, nunu"
"panggang, memanggang",,,,,"panggang, manggang"
panggil,"jeritin, kaukin",aturin,madikain,,
"panggil, memanggil",,,,,"kauk, ngaukin"
"panggil, memanggil-manggil",,,,,"dulame, nulame"
panggilan setelah punya anak,,,,,"pungkus, pungkusan"
"panggung, tempat pentas",,,,,panggung
pangkal,,,,,bongkol
pangkal pelepah pohon pisang,,,,,upih
pangku,abin,,,abih,
pangku,,,,,abin
panitia,panitia,,,prawartaka,
panjang,"lantang, dawa",panjang,panjang,,
panjang,dawa,,,"panjang, dirga",
panjang,lantang,,,panjang,
pantai,"pesisi, sisi",pesisi,pesisir,,
pantai,pasisi,,,tepisiring,
pantai,pesisi,,,tepisiring,
pantang,,,,,brata
pantat,jit,jit,silit,,
Panu,,,,,Bulenan
"paparan, prosa",gancaran,,,cerita,
para dewa,,,,,dewata
parang lebih besar dari belati,,,,,golok
parau,,,,,serak
Paru-paru,paparu,paparu,paparu,,
"parut, memarut",,,,,"kikih, ngikih"
parutan,kikihan,,,parutan,
"pas, saat",nuju,,,nemonin,
pasak,jakan,,,rateng,
pasak,,,,,lait
pasal,pasal,,,paos,
pasang,enyitin,enyitin,enyitin,,
pasang,,,,,pasang
"pasang, sepasang","pasang, akitang",akitang,perangkat,,
pasar,peken,pasar,pasar,,
pasar,peken,,,pasar,
pasir,bias,bias,bias,,
pasir,,,,,bias
pasti,"pedas, karuan, seken, pasti",janten,mejanten,,
pasti,sinah,,,"janten, pastika",
"pasti, tentu",pasti,,,"janten, pastika",
pasukan tempur,,,,,bala
patah,,,,,empak
patah,,,,,kepuk
patah,,,,,"lung,elung"
patah sedikit giginya,,,,,pungak
"patokan, aturan",,,,,sepat siku-siku
patung,"togog, bedogol",arca,arca,,
patung,,,,,"togog, nogog"
patung besar dari paras,,,,,bedogol
patung dewa,,,,,arca
pawangunan,,,,,pembangunan
payah,kenyel,"kenyel, leleh","angel, leson",,
"payah, lelah",kenyel,,,"leson, leleh",
payung,pajeng,tedung,tedung,,
payung,pajeng,,,"catra, tedung",
pecah,,,,,belah
pecah,,,,,bencah
pecah berantakan,,,,,bencar
pecah sedikit,,,,,kepeh
Pecahan batu/bata,,,,,Bungkal/an
pecahan beras,,,,,mincid
pecahan periuk,,,,,clebingkah
pecahkan,"belahang, elungang","mecah, usakpecahang",rusakang,,
pedagang,,,,,dagang
pedas,lalah,,,"pened, pedes",
"pedih, sakit di kulit",,,,,"ngaap,ngahngah"
pedoman,geguat,,,sepat siku-siku,
pedoman tentang hari baik/buruk,,,,,wariga
"pedoman, pegangan",pedoman,,,titi pengancan,
pegang,gisi,,,gamel,
Pegang dengan bibir,,,,,Canggem
"pegang, memegang, menyimpan",,,,,"raksa, ngraksa"
pegangan,gegisian,,,gegamelan,
pegangan di jembatan,,,,,pangancan
"pejang, memejamkan mata",,,,,"kidem, ngidem"
pekan lima hari,,,,,pancawara
pekan yang tujuh hari,,,,,saptawara
pekerjaan,geginan,,,"swagina, swakarya",
pekik,gelur,gelur,gelur,,
pelabuhan,pelabuhan,"labuhan, pabean",pabean,,
pelacur,,,,,sundel
pelajaran,papelajahan,papelajahan,papelajahan,,
"pelan, lambat",dabdab,,,"banban, alon",
pelan/lambat,banban,,,alon,
pelangi,,,,,bianglalah
pelan-pelan,adeng-adeng,,,alon-alon,
pelapah,,,,,papah
pelayan,pengayah,,,ancangan,
pelihara,"piara, ubuh, pretain","emban, abih, tatingin",aksinin,,
pelihara,piara,,,upapira,
pelihara,ubuh,,,"piara, upapira",
pelihara,,,,,ubuh
peliharaan hewan punya orang lain,,,,,"kadas, ngadas"
pelipis,pelengan,pelengan,pepelis,,
peluk sambil berbaring/tidur,,,,,"jangku, nyangkutin"
"peluk, memeluk",,,,,"peluk, meluk"
pelukis,tukangnggambarsangging,tukanggambar,tukanggambar,,
pemarah,,,,,brangsongan
pematang,pundukan,paundukan,paundukan,,
pematang,,,,,"punduk, pundukan"
pembakaran,pengabenan,pelepon,melebu,,
pemberani,wanen,,,"wania, purusa, prawira",
pemberian,pabaang,aturan,paica,,
pemberian,pabaang,"pawehweh, aturan",paica,,
pemberian sedekah,,,,,punia
pembina,pembina,,,penuntun,
pembinaan,pembinan,,,panuntunan,
"peminta minta, pengemis",idih idih,gegendong,gegendong,,
pemuda,teruna,anom,"anom, jajaka",,
pemudi,teruni,anom,anom,,
pemuka,,,,,pangarep
"pena, bolpoin",pen,pen,"pen, penulisan",,
penambah,paimbuh,,,paweweh,
"penarak, sejenis kerajang yang kecil",,,,,penarak
penari,,,,,pragina 
"pencet, memencet dengan kuku ibu jari ",,,,,"pisuh, misah "
pencuri,"maling, pemaling",dusta,dusta,,
"pencuri, penghianat",,,,,dusta
pendamping dalang,,,,,tutut
pendek,"bontok, bawakringkes",cendek,cendek,,
pendek,bawak,,,cendek,
"pendek, singkat",cutet,,,cendek,
pendeta,,,,,begawan
pendeta,,,,,pandita
pendeta Hindu,,,,,pedanda
pengangkat,,,,,"tingting, ningting"
pengarang,pengawi,pengawi,pengawi,,
pengaruh gaib yang jahat,,,,,desti
"pengaruh jahat, bisa, racun",,,,,wisia
pengembala,panganggon,,,gopala,
pengembalian uang sisa pembayaran,,,,,susuk
"pengemudi, sopir",supir,supir,supir,,
pengetahuan,kabisan,,,kaweruhan,
"penggal, memenggal",,,,,"punggal, munggal"
pengganti,silurgethi,panyilurgentos,pagentosgentos,,
penghabisan,"uud, uudan",,,"uus, uusan",
penghubung pacaran,,,,,ceti
pengingatan,patinget,,,pakeling,
"pengotor,kotor",,,,,kumel
pengumuman,,,,,arah-arah
penilaian,,,,,panureksan
peniti,"peniti, engsel","peniti, engsel",peniti,,
penjara,"bui, pangkeng",pangkeng,pangkeng,,
penjara,"bui, pangkeng",bui,"bui, buwi",,
"penjor, sebatang bambu yang dihiasi",,,,,penjor
penting,"buat, mabuat",perlu,mabuat,,
"pentong, pentung",,,,,"gitik, gegitik"
penuh,bek,ebek,ebeksupenuh,,
penuh,bek,,,"ibek, sarat",
penuh,,,,,"bek, ebek"
penuh,,,,,ebek
penuh,,,,,meres
"penuh, banyak daun",,,,,emben
"penuntun, penuntunan",,,,,"pembina, pembinaan"
penutup,panutup,,,pamuput,
penutup parit penyeberang jalan,,,,,kluung
penutup sajian,saab,,,tudung saji,
"penyaji, pemakalah, pemrasaran",,,,,pamaos
penyakit,"pengering, sakit",pangering,pinakit,,
penyakit,pinyakit,pinengkaon,pinyungkan,,
Penyakit cacar air ,,,,,Cangkring
penyakit kulit,,,,,kusta
"penyakit lepra, menular, berbahaya",,,,,"ila, ila-ila"
