Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
berwibawa,,,,,mawibawa-
besan,,,,,warang
besar,gede,ageng,agung,,
besar,gede,ageng,agung,,
besar,gede,,,ageng/agung,
beserta dengan,"runtut, maruntutan",,,"dulur, maduluran",
besi,,,,,besi
"besi paku, paku",,,,,pacek
besok,"buin mani, mani",benjang,benjang,,
besok,buinmani,,,benjang,
besok,"mani, buinmani",,,benjang,
betina,,,,,lua
betis,betekan batis,langsuan,langsuan cokor,,
biar,depang,banggayang,banggayang,,
"biar, biarkan",depin,banggayang,banggayang,,
biarin,depin,,,banggayang,
biarkan,depang,,,banggayang,
biasa,"kelagu, katah",kesumbung,lumrah,,
biasa,"kentah, biasa",kalagu,lumrah,,
biasa,biasa,,,"ketah, lumrah",
biasa bangun pagi benar,,,,,pradang 
biasanya,biasane,lumbrah,kadilumbrahipun,,
biaya,bea,,,prabea,
biaya,biaya,,,prabea,
bibi paman,"ua, maman","maman, paman",paman,,
bibir,bibih,"bibih, utuk","lambe, mommon",,
bibir,bibih,"cangkem, lambe",lambe,,
bicara kasar,,,,,bangras
"bicara, berbicara","ngomong, ngeraos",mabaos,ngandika,,
bicaranya tak sempurna,,,,,badil
bidadari,dedari ,,,widiadari,
bidang sektor,"bidang, bagian",,,widang,
bijaksana,,,,,wicaksana
"bijaksana, pandai","ririh, pradnyan",wicaksana,wikan,,
biji,bija,,,wija,
biji padi,,,,,gabah
"biji, batu",batun,watun,watun,,
"bilamana, kapan",yen,yaning,yening,,
bimbang,bimbang,bimbang,bimbang,,
"bimbang, goyang",bimbang,sumbang,sumbang,,
"bimbingan, pembinaan",,,,,panuntunan 
binatang,buron,,,"sato, mrega, prani",
binatang - binatang kecil,,,,,kumatap-kumitip
binatang kaki seribu,,,,,lelipan
binatang kecil-kecil tak bertulang,,,,,prani
"binatang, hewan",buron,sato,sato,,
binatang-binatang kecil,,,,,gumatat-gumitit
"bincang, perbincangan",,,,,"gonjak, gegonjakan"
bingkai,sibeh,sibeh,sibeh,,
bingung,"paling, bingung",lemengruwet,ruwet,,
