kantong_saku,kantong,kantong,kantong
kaoskaki,kaosbatis_kasut,kasut,kasut
kapak,kapak_belakas,kapak_belakas,kapak_belakas
kapallaut,kapal,kapal,kapal
kapan,buinpidan,malihpidan,malihpidan
kapan,pidan_kaliapa,makapidan,ringpidan
karcis,kercis,kercis,kercis
kasih_sayang_cinta,tresna_pitresna,asih_piwelasan,asih
kata,munyikruna,raos_pajar,suarakruna
katak_kodok,godogan,NULL,NULL
katanya,kone,kocap,kocap
kawan_kawan_sahabat_teman,timpal_kakasihan_patawangan,switra,switra
kawat,kawat,NULL,NULL
kawin,nganten_makurenan,marabian,merabian
kaya,sugih,sugih_kaya,kaya
kayu_pohon,punyan_pohon,wit,pohon
kayukayu,taru,taru,NULL
kebanyakan_terbanyak,liunan_palingliuna,akehan_pihihakeh,makehan_pinihakeh
kebetulan,ketuju_kebenengan,rinuju,rinuju
kebiasaan_adat,adat_turah_prah,tatacaraadat,adatkrama
kebun,abian_kebon,kebonan,pakebonan
kecelakaan,sengkala,sengkaon_sinangkaon,sinangkala
kecewa_putusasa,kuciwakado,kuciwa,kuciwa
kecil,cenik,alit,alit
kecil,cenik_cerik,alit,alit
kecuali,sajabaning,sajawining,NULL
kedip_kejap,kijap_nguyiwatin,NULL,NULL
kedua,Ane ping pindo,Sane kaping kalih,Sane kaping ro
keduanya_dua,makadadua,makakalih,sarengkalih
kehendak_pikiran_tujuan,kenehnget,manah_pikenyet,pikayun
kejar,uber_ulah_nguber,ulati,ulati
kelabu,kelau,abu_abu_kelau,abu_abu_kelau
kelakuan,solah_abet_bikas,bikas_laksana,laksana_tingkah
kelakuan_tabiat_kebiasaan_watak,abet_tingkahbikas,solah_ulah,polah_pari_solah
kelambu,klambu,langse,langse
kelapa_nyiur,nyuh,kelapa,kelapa
kelaparan,terak,Kirang ajengan,kirang pangan
keluar,pesu,medal,wetu
keluar,pesu,medal,medal
kemana,kijadije,lungakija,lungakija
kemari_kesini,mai,meriki,meriki
kemarin,dibi_ibi,dibi,dibi
kemarindulu_kemarinlusa,ipuan,kalihrahina,kalihrahina
kembali,melipetan,matulak,mantuk
kemeja,baju_kelambi,kuaca,kuaca
kemenakan,kaponakan_anakdimisan,kaponakan_pianakmisan,okasemeton_okaringsiki
kemenangan,kemenangan,kemolihan,kemolihan
kemudian,binpidan_durian,malihpidan,pungkur
kena,kena,keni,keni
kena,kena,keni,keni
kenalan,tetawangan,pepauningansuwitra,suwitra
kenaluka,matatu,NULL,NULL
kencang_lurus,kenceng_rurus,NULL,NULL
kencing,ngenceh,mabanyu,mawarih
kendi_bulebule,caratan_gebeh,caratan cecepangebeh,cecepangebeh
kepada_ke,ke_teken,ring,ring
kepala,tendas_sirahsirah_teras,duur_duhur_sirah,prabu
Kepala desa_kepaladusun_ketua,kelian,kelian,kelian
kepalabatu,bengkung,tebelkuping,punggung
kepercayaan,sadin,percaya,percaya
Kepunyaan siapa_milik siapa,Gelah nyen,Sira neruenang,Sira nrebenang
kera_monyet,bojog,were_ore,were_wenara
kerbau,kebo,kebo,kebo
kerbauputih,misa,misa_kebobule,misabule
kering,tuh,kering_letuh,letuh
keringat,peluh,peluh,keringet
kerja,gae_pagaenan_gegarapan,karya,kariya_pekaryan
kertas,deluang_kertas,kertas,kertas
kerusakan_rugi,kapocolan,rugi,rugi
kesempatan,sela_tempo,sela_senggang,senggang
kesukaan_kesenangan,kesukan,kasenengan,keledangan
ketam,anggapan,anggapan,anggapan
ketika,dugas,rikala,daweg
kewajiban_tugas,kepatutanayahan,kayogyan,kayogyan
khabar,orta_gatra,orti,gatri
kikir,demit_pripit,demit_pripit,kemit_pripit
kikir_pelit,kikir,tatah,tatah
kilat_petir,tatir_ilir,tatit,tatit
kipas,kepet,kepet,ilih
kira_kira,sawetara,sawetara,sawetara
kira_kira_kira_kira_kira,bantas,inganan,sawatara
kiri,kebot,kiwa_kedel,kiwa
korban,korban_caru,carubanten_piduka,carubanten_piduka
korekapi,colok_korek,korek,korek
kosong,matalang_puyungsuwung,matalang_puyung,tanmadagingsuniya
kotakecil,kuta,negari,negari
kotor,menyi_daki_leteh_reged,reged_dekil_letuh,reged
kotor,menyi_daki_dekil,reged,reged
kotor,sebel_kotor_leteh,weci_letuh,letuh
kuat,katos_katong,katong,katong
kuat,sitengkereng,kuat,NULL
kuburan,sema,setra,setra
kuburan,sema,setratunon,setratunon
kuburkan_mengubur,tanem_kutang,pendem,pendem
kucing,meong,meng,meng
kuda,jaran,kuda,kuda
kuil,sanggah,pamerajan,perhiangan
kuil,parhiangan_sanggahpura,pamrajanpura,kahyangan_pura
kuku,kuku,naka,naka
kulit,kulit,carma,NULL
Kulit pohon,babakan,kulittaru,kulittaru
kunci,sereg,kunci,kunci
kuning,kuning_gading,jenar,jenar
kuno,kuna,kuno,nguni
kurang,kuangan,kirang,kirang
kursi,kursi_tegakan,palinggihan,palinggihan
kurus_tipis,berag_tipis,keriskiris,NULL
laci,laci,laci,laci
lagi,buin_buwin_bin,malih,malih_wawanin
lagi_tambahan,buin,malih,malih
lagu_nyanyian,kidung_gending_lagu,kidung_gita,wirama
lahir,lekadpesu_ludag,mijilmetu,embas
lain,len_lian,tios,sios
lain_beda,len_beda,lian_tios,sios
lain_lagi,len,siyos,lian
lalat,buyung,buyung,buyung
lalu_selanjutnya,lantas_laut,raris,raris
lama,makelo,sue_suwe,sue_lami
lambat_kasep,kasep_kasepan,sepanan_duri2,kasep
lampu_cahayaterang,sembe_suluh,damar,sundih
langit_surga,langit,akasa_ambara,akasa_ambara
langkah_melangkah,metindakan,langkah,lakulangkah
lantai,bataranlante,pekebatlante,pakebatlante
lantas_lalu_sesudah_kemudian,disubane_sasubaneento_lantas,raris_sasampunepunika,wusanpunika
lapar,seduh_layah,seduk,seduk_lapa
lari,melaib_laib,mlayu,melayu
lari,melaib,mlayu,mlayu
laut,pasih,segara_tasik,segara
lawan,tungkalikan_lawan,tungkalikan,tungkalikan
layang_layang,lelayangan,lalayangan,lalayangan
lebar,lombeng_linggah,lumbang,jimbar_limbok
lebarnya,lombengne,lumbangne,lumbang
lebihbaik_lebihbagus,luwungan_melahan,becikan,becikan
lebihbanyak,liunan,akehan,katahan
leher,baong,kakolongan_baong,kanta_gulu
lekas_segera,enggal_incol,gelis,gelis
lelucon_lucu,banyol_banyolan,banyol,baud
lemah,lemet_kenyihgemba,gemba_lemah,lemet
lemak,muluk,muluk,muluk
lemari,lemari,lemari,lemari
lemas_lembek,halus_megelokan,magelokan,halusmagelokan
lengan,lengen,asta,tangan_asta
lentera_lampu,damar_suluh_pijet,sundih,sundih
lewat,ngaliwatin,langkungin,ngalintang
liangkubur,gagumuk,gagumuk,gagumuk
liar_ganas,rengas_galak,rengas,rengas
lidah,layah,ilat,lidah
lilin,lilin,lilin,lilin
lipat_dobel_ganda,nikelpindo,nikelpingkalih,nikelpingkalih
lonceng,klenenglonceng,genta_bajra,genta_bajra
longgar,galir,NULL,NULL
lubang,bambang_bolong_song,bangbang,bangbang
lucu,banyol_baud,banyol,baud_banyol
luka,tatu,kanin,kanin
lumbung,jinenggelebeg_klumpu_glebeg_glebek,lumbung,lumbung
lumpur,endut_luluh,endut,endut
lupa,engsap,engsap,lali
lusa,Biin puan,Malih kalih rahina,Malih kalih rahina
lutut,entud,jengku,jengku
mabuk,punyah,punyah,punyah
mahal,mael_mahal,larang,larang
mahal,mael_mahal_maal,mael,mael
makan,madaar_neda,ngajengang_nunas,ngrayunang
makanan,dadaranpangan,ajeng_ajengantatedan,rayunan_ajengan
maksud_arti,teges_arti,teges,piteges
maksud_ujud,keneh_tuju,manah_suksemanpikenoh,pakayunan
malam,peteng,wengi_latri,wengi
